completely assimilated,take_in
completely fulfilled,execute
considerably concerned,have-to_doe_with
altogether fitting,jibe
totally accept,take_on
greatly appreciate,value
particularly enjoyed,savour
especially cite,refer
somewhat altered,spay
substantially lessen,decrease
greatly relieved,assuage
particularly coming,total
reasonably varied,deviate
completely measured,value
particularly noted,remark
greatly improved,better
completely deserted,abandon
completely rejected,pass_up
completely converted,exchange
extremely thin,reduce
however crammed,chock_up
particularly give,throw
entirely consistent,ordered
somewhat diminished,fall
somewhat divided,split_up
slightly longer,tenacious
particularly appealing,sympathetic
reasonably request,call_for
especially bothered,inconvenience_oneself
farther back,support
substantially complete,fill_in
slightly advanced,progress
extremely dull,mute
completely charming,captivate
completely misrepresents,fudge
completely eliminated,do_away_with
remarkably gifted,empower
especially trained,prepare
completely abandoned,forsake
completely entered,come_in
entirely committed,give
slightly rounded,lash_out
altogether lost,recede
somewhat tired,pall
particularly struck,move
considerably lower,take_down
extremely interesting,occupy
somewhat impeded,obturate
however confabulated,jaw
